Description,Category
Electricity Bill,Fixed Expenses
Python Programming Course,Education
Car Loan EMI,Fixed Expenses
Clothing from Zara,Shopping
Real Estate Investment,Investment
Electricity Bill,Fixed Expenses
Pharmacy: Cough Syrup,Medical
Clothing from Zara,Shopping
Stock Purchase: Apple,Investment
School Books,Education
Car Loan EMI,Fixed Expenses
McDonald's Lunch,Food
PlayStation Game Purchase,Entertainment
Uber Ride to Office,Transport
Electricity Bill,Fixed Expenses
College Tuition Fee,Education
Income Tax Payment,Fixed Expenses
Takeout from Subway,Food
Movie Ticket,Entertainment
Uber Ride to Office,Transport
Electricity Bill,Fixed Expenses
Clothing from Zara,Shopping
Electricity Bill,Fixed Expenses
Hulu Subscription,Entertainment
Clothing from Zara,Shopping
Doctor Consultation Fee,Medical
Dinner at Olive Garden,Food
Dinner at Olive Garden,Food
Gas Refill for Car,Transport
Real Estate Investment,Investment
Concert Ticket,Entertainment
Starbucks Coffee,Food
Car Loan EMI,Fixed Expenses
Pizza Hut Order,Food
Car Loan EMI,Fixed Expenses
Real Estate Investment,Investment
Electricity Bill,Fixed Expenses
Annual Health Checkup,Medical
Income Tax Payment,Fixed Expenses
Bus Fare,Transport
Uber Ride to Office,Transport
Nike Shoes,Shopping
Starbucks Coffee,Food
Python Programming Course,Education
Income Tax Payment,Fixed Expenses
Netflix Subscription,Entertainment
Pharmacy: Cough Syrup,Medical
Stock Purchase: Apple,Investment
School Books,Education
Doctor Consultation Fee,Medical
Gas Refill for Car,Transport
Online Certification,Education
Car Loan EMI,Fixed Expenses
Mutual Fund SIP,Investment
Pharmacy: Cough Syrup,Medical
Flight Ticket to New York,Transport
Monthly Rent Payment,Fixed Expenses
Real Estate Investment,Investment
Python Programming Course,Education
Electricity Bill,Fixed Expenses
Electricity Bill,Fixed Expenses
Car Loan EMI,Fixed Expenses
New Laptop from Best Buy,Shopping
Python Programming Course,Education
Flight Ticket to New York,Transport
Nike Shoes,Shopping
Starbucks Coffee,Food
Netflix Subscription,Entertainment
Real Estate Investment,Investment
College Tuition Fee,Education
Mutual Fund SIP,Investment
Train Ticket,Transport
Starbucks Coffee,Food
McDonald's Lunch,Food
McDonald's Lunch,Food
Uber Ride to Office,Transport
Flight Ticket to New York,Transport
PlayStation Game Purchase,Entertainment
Nike Shoes,Shopping
Income Tax Payment,Fixed Expenses
Amazon Purchase: Headphones,Shopping
School Books,Education
Electricity Bill,Fixed Expenses
Amazon Purchase: Headphones,Shopping
Netflix Subscription,Entertainment
Emergency Hospital Visit,Medical
Emergency Hospital Visit,Medical
Dental Checkup,Medical
Mutual Fund SIP,Investment
New Laptop from Best Buy,Shopping
Starbucks Coffee,Food
Electricity Bill,Fixed Expenses
School Books,Education
Python Programming Course,Education
Train Ticket,Transport
Dental Checkup,Medical
Bus Fare,Transport
Monthly Rent Payment,Fixed Expenses
Car Loan EMI,Fixed Expenses
Bitcoin Investment,Investment
Hulu Subscription,Entertainment
ETF Purchase,Investment
Python Programming Course,Education
Train Ticket,Transport
College Tuition Fee,Education
Car Loan EMI,Fixed Expenses
Clothing from Zara,Shopping
Water Bill,Fixed Expenses
Flight Ticket to New York,Transport
Annual Health Checkup,Medical
College Tuition Fee,Education
Monthly Rent Payment,Fixed Expenses
Train Ticket,Transport
Takeout from Subway,Food
Uber Ride to Office,Transport
Mutual Fund SIP,Investment
Amazon Purchase: Headphones,Shopping
Electricity Bill,Fixed Expenses
Car Loan EMI,Fixed Expenses
Walmart Grocery Shopping,Shopping
Bitcoin Investment,Investment
Online Certification,Education
Flight Ticket to New York,Transport
Water Bill,Fixed Expenses
Bus Fare,Transport
ETF Purchase,Investment
Annual Health Checkup,Medical
Bus Fare,Transport
Concert Ticket,Entertainment
College Tuition Fee,Education
School Books,Education
Uber Ride to Office,Transport
Clothing from Zara,Shopping
Hulu Subscription,Entertainment
Electricity Bill,Fixed Expenses
Dinner at Olive Garden,Food
Doctor Consultation Fee,Medical
Flight Ticket to New York,Transport
Stock Purchase: Apple,Investment
Income Tax Payment,Fixed Expenses
Dinner at Olive Garden,Food
Dental Checkup,Medical
Monthly Rent Payment,Fixed Expenses
Nike Shoes,Shopping
Income Tax Payment,Fixed Expenses
College Tuition Fee,Education
Python Programming Course,Education
Emergency Hospital Visit,Medical
Electricity Bill,Fixed Expenses
Dental Checkup,Medical
Udemy Course Purchase,Education
Clothing from Zara,Shopping
Stock Purchase: Apple,Investment
College Tuition Fee,Education
ETF Purchase,Investment
Walmart Grocery Shopping,Shopping
